bootstrap_resamples,bootstrap_seed,ci_lower,ci_upper,cluster_count,confidence,control_group,difference_direction,mean_difference,metric,paired_count,treatment_group
2000,20260711,-0.05,0.35,20,0.95,G1,treatment_minus_control,0.15,task_success,60,G2
2000,20260711,-0.05,0.35,20,0.95,G1,treatment_minus_control,0.15,official_test_pass_rate,60,G2
2000,20260711,133.3,189.1025,20,0.95,G1,treatment_minus_control,159.55,total_tokens,60,G2
2000,20260711,0.6272662103399992,1.8556059340754334,20,0.95,G1,treatment_minus_control,1.1859777221333416,latency_seconds,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,state_vector_count,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,state_vector_bytes,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,memory_read_count,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,memory_hit_count,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,memory_reuse_count,60,G2
2000,20260711,0.0,0.0,20,0.95,G1,treatment_minus_control,0.0,memory_write_count,60,G2
2000,20260711,-0.15,0.15,20,0.95,G2,treatment_minus_control,0.0,task_success,60,G3
2000,20260711,-0.15,0.15,20,0.95,G2,treatment_minus_control,0.0,official_test_pass_rate,60,G3
2000,20260711,74.69125000000003,111.75624999999997,20,0.95,G2,treatment_minus_control,92.05,total_tokens,60,G3
2000,20260711,-0.09565308402210293,0.8226099714283213,20,0.95,G2,treatment_minus_control,0.3265591433333261,latency_seconds,60,G3
2000,20260711,1.0,1.0,20,0.95,G2,treatment_minus_control,1.0,state_vector_count,60,G3
2000,20260711,353.0,353.0,20,0.95,G2,treatment_minus_control,353.0,state_vector_bytes,60,G3
2000,20260711,0.0,0.0,20,0.95,G2,treatment_minus_control,0.0,memory_read_count,60,G3
2000,20260711,0.0,0.0,20,0.95,G2,treatment_minus_control,0.0,memory_hit_count,60,G3
2000,20260711,0.0,0.0,20,0.95,G2,treatment_minus_control,0.0,memory_reuse_count,60,G3
2000,20260711,0.0,0.0,20,0.95,G2,treatment_minus_control,0.0,memory_write_count,60,G3
2000,20260711,-0.15,0.0,20,0.95,G3,treatment_minus_control,-0.05,task_success,60,G4
2000,20260711,-0.15,0.0,20,0.95,G3,treatment_minus_control,-0.05,official_test_pass_rate,60,G4
2000,20260711,21.24875,48.504999999999974,20,0.95,G3,treatment_minus_control,34.7,total_tokens,60,G4
2000,20260711,-0.28225457259707776,0.20126212605958416,20,0.95,G3,treatment_minus_control,-0.028241714399992665,latency_seconds,60,G4
2000,20260711,0.0,0.0,20,0.95,G3,treatment_minus_control,0.0,state_vector_count,60,G4
2000,20260711,10.498750000000003,19.9,20,0.95,G3,treatment_minus_control,15.2,state_vector_bytes,60,G4
2000,20260711,2.4,3.6,20,0.95,G3,treatment_minus_control,3.0,memory_read_count,60,G4
2000,20260711,1.4,2.6,20,0.95,G3,treatment_minus_control,2.0,memory_hit_count,60,G4
2000,20260711,2.5,5.6,20,0.95,G3,treatment_minus_control,4.0,memory_reuse_count,60,G4
2000,20260711,2.4,3.6,20,0.95,G3,treatment_minus_control,3.0,memory_write_count,60,G4
2000,20260711,-0.1,0.3,20,0.95,G1,treatment_minus_control,0.1,task_success,60,G4
2000,20260711,-0.1,0.3,20,0.95,G1,treatment_minus_control,0.1,official_test_pass_rate,60,G4
2000,20260711,257.3875,316.80125,20,0.95,G1,treatment_minus_control,286.3,total_tokens,60,G4
2000,20260711,0.9797937030687552,2.032367223408341,20,0.95,G1,treatment_minus_control,1.484295151066675,latency_seconds,60,G4
2000,20260711,1.0,1.0,20,0.95,G1,treatment_minus_control,1.0,state_vector_count,60,G4
2000,20260711,363.49875000000003,372.9,20,0.95,G1,treatment_minus_control,368.2,state_vector_bytes,60,G4
2000,20260711,2.4,3.6,20,0.95,G1,treatment_minus_control,3.0,memory_read_count,60,G4
2000,20260711,1.4,2.6,20,0.95,G1,treatment_minus_control,2.0,memory_hit_count,60,G4
2000,20260711,2.5,5.6,20,0.95,G1,treatment_minus_control,4.0,memory_reuse_count,60,G4
2000,20260711,2.4,3.6,20,0.95,G1,treatment_minus_control,3.0,memory_write_count,60,G4
